Mission_ID,Mission_Date,Mission_Type,Drone_Model,Base_Location,Operator_ID,Flight_Duration_Min,Distance_Km,Altitude_m,Battery_Start,Battery_End,Battery_Consumed,Payload_Type,Payload_Weight_kg,Weather,Temperature_C,Wind_Speed_kmph,Threat_Level,Mission_Status,Failure_Reason,Mission_Score
ASD-00001,2025-08-05,Reconnaissance,DJI Mavic 3 Enterprise,Dehradun,OP-019,34,6.38,150,100,49,51,Sensor Package,3.83,Cloudy,16,9,Low,Success,NA,91
ASD-00002,2025-08-05,Reconnaissance,Autel EVO Max 4T,Delhi,OP-023,23,35.87,263,100,27,73,HD Camera,3.91,Cloudy,36,20,Medium,Success,NA,92
ASD-00003,2025-07-13,Border Patrol,Skydio X2D,Lucknow,OP-030,31,25.9,171,100,36,64,Sensor Package,2.57,Windy,24,5,Low,Success,NA,94
ASD-00004,2025-07-06,Reconnaissance,Autel EVO Max 4T,Shimla,OP-021,44,43.75,91,100,51,49,HD Camera,2.21,Rainy,13,17,Critical,Success,NA,70
ASD-00005,2025-06-16,Reconnaissance,DJI Matrice 300 RTK,Lucknow,OP-022,29,38.5,123,100,49,51,Medical Kit,4.95,Cloudy,37,27,Medium,Success,NA,90
ASD-00006,2025-05-07,Search & Rescue,Skydio X2D,Chandigarh,OP-005,71,19.73,134,100,40,60,Sensor Package,2.56,Cloudy,39,28,High,Success,NA,98
ASD-00007,2025-12-15,Medical Delivery,Parrot Anafi AI,Dehradun,OP-026,71,24.91,115,100,15,85,HD Camera,1.19,Foggy,13,6,Medium,Success,NA,71
ASD-00008,2025-03-22,Infrastructure Inspection,DJI Mavic 3 Enterprise,Dehradun,OP-014,79,34.1,221,100,79,21,Sensor Package,2.03,Clear,42,20,High,Success,NA,94
ASD-00009,2025-06-15,Search & Rescue,Autel EVO Max 4T,Jaipur,OP-020,33,52.88,156,100,16,84,Medical Kit,3.93,Windy,20,12,Low,Success,NA,71
ASD-00010,2025-09-01,Search & Rescue,Skydio X2D,Dehradun,OP-022,27,18.25,225,100,70,30,LiDAR,3.95,Clear,39,7,Medium,Success,NA,92
ASD-00011,2025-05-07,Surveillance,Skydio X2D,Dehradun,OP-004,74,58.04,218,100,55,45,Food Package,4.55,Rainy,33,26,Critical,Success,NA,70
ASD-00012,2025-05-02,Reconnaissance,Skydio X2D,Jaipur,OP-017,49,37.36,81,100,71,29,HD Camera,4.37,Clear,22,7,Low,Success,NA,97
ASD-00013,2025-08-28,Border Patrol,DJI Matrice 300 RTK,Delhi,OP-014,80,18.36,201,100,28,72,Sensor Package,2.44,Cloudy,14,9,Critical,Failed,Battery Failure,90
ASD-00014,2025-05-23,Medical Delivery,Skydio X2D,Delhi,OP-006,71,45.05,284,100,67,33,LiDAR,2.52,Cloudy,20,15,Critical,Success,NA,81
ASD-00015,2025-07-25,Medical Delivery,DJI Matrice 300 RTK,Chandigarh,OP-028,26,40.87,218,100,79,21,Food Package,2.69,Clear,23,13,Medium,Success,NA,92
ASD-00016,2025-10-24,Border Patrol,Autel EVO Max 4T,Delhi,OP-002,53,55.96,280,100,22,78,Thermal Camera,1.35,Rainy,35,34,Medium,Success,NA,75
ASD-00017,2025-05-01,Reconnaissance,Skydio X2D,Dehradun,OP-022,26,37.13,208,100,60,40,Thermal Camera,0.81,Clear,40,8,Low,Success,NA,99
ASD-00018,2025-11-27,Surveillance,DJI Matrice 300 RTK,Chandigarh,OP-022,25,39.07,187,100,40,60,Thermal Camera,1.7,Rainy,21,23,Medium,Success,NA,80
ASD-00019,2025-03-22,Border Patrol,Autel EVO Max 4T,Dehradun,OP-010,32,9.03,134,100,16,84,HD Camera,4.46,Rainy,16,25,High,Success,NA,62
ASD-00020,2025-05-25,Reconnaissance,Autel EVO Max 4T,Dehradun,OP-009,87,5.43,289,100,42,58,HD Camera,4.5,Clear,16,19,Medium,Success,NA,95
ASD-00021,2025-05-15,Infrastructure Inspection,Parrot Anafi AI,Dehradun,OP-021,82,18.81,296,100,74,26,HD Camera,0.52,Clear,35,20,Medium,Success,NA,97
ASD-00022,2025-01-22,Search & Rescue,DJI Mavic 3 Enterprise,Shimla,OP-005,21,11.15,256,100,61,39,LiDAR,2.99,Windy,10,26,Critical,Success,NA,80
ASD-00023,2025-07-31,Medical Delivery,DJI Mavic 3 Enterprise,Lucknow,OP-029,51,41.68,170,100,28,72,Thermal Camera,4.89,Windy,17,18,Medium,Success,NA,95
ASD-00024,2025-06-06,Reconnaissance,DJI Matrice 300 RTK,Shimla,OP-012,40,48.31,107,100,32,68,Thermal Camera,4.17,Clear,38,17,Critical,Success,NA,83
ASD-00025,2025-03-01,Infrastructure Inspection,Autel EVO Max 4T,Delhi,OP-001,44,26.92,151,100,72,28,Food Package,3.56,Rainy,30,35,High,Failed,Signal Loss,77
ASD-00026,2025-01-23,Infrastructure Inspection,Skydio X2D,Shimla,OP-009,33,37.81,168,100,40,60,Food Package,4.55,Foggy,40,10,Medium,Success,NA,90
ASD-00027,2025-07-29,Infrastructure Inspection,DJI Mavic 3 Enterprise,Jaipur,OP-022,45,25.03,97,100,38,62,Sensor Package,4.55,Windy,28,10,High,Success,NA,94
ASD-00028,2025-04-18,Infrastructure Inspection,Autel EVO Max 4T,Chandigarh,OP-010,73,41.57,177,100,58,42,LiDAR,4.25,Windy,27,28,High,Success,NA,99
ASD-00029,2025-05-01,Reconnaissance,DJI Mavic 3 Enterprise,Delhi,OP-003,76,29.32,134,100,15,85,Medical Kit,2.82,Foggy,18,8,High,Success,NA,73
ASD-00030,2025-05-05,Surveillance,Parrot Anafi AI,Jaipur,OP-013,25,18.47,201,100,71,29,Sensor Package,3.63,Foggy,34,15,Critical,Success,NA,80
ASD-00031,2025-09-29,Infrastructure Inspection,Skydio X2D,Chandigarh,OP-022,42,49.23,258,100,21,79,Food Package,1.1,Clear,23,10,Critical,Failed,Signal Loss,87
ASD-00032,2025-05-03,Border Patrol,Autel EVO Max 4T,Jaipur,OP-021,90,29.53,120,100,20,80,Sensor Package,1.75,Foggy,24,18,Critical,Success,NA,81
ASD-00033,2025-08-01,Medical Delivery,Parrot Anafi AI,Delhi,OP-003,54,23.47,218,100,70,30,Food Package,3.62,Cloudy,17,17,Medium,Success,NA,98
ASD-00034,2025-07-19,Infrastructure Inspection,Skydio X2D,Dehradun,OP-025,46,50.81,179,100,78,22,HD Camera,4.74,Windy,32,33,High,Success,NA,96
ASD-00035,2025-03-26,Infrastructure Inspection,Skydio X2D,Delhi,OP-024,48,31.85,149,100,25,75,Medical Kit,3.51,Foggy,9,27,Critical,Success,NA,82
ASD-00036,2025-06-17,Search & Rescue,Parrot Anafi AI,Lucknow,OP-013,70,37.55,249,100,77,23,Food Package,1.32,Clear,35,11,High,Success,NA,95
